          33
      0.000  1.013E+03  3.000E+02  1.900E+01  5.600E-05
      1.000  9.040E+02  2.940E+02  1.300E+01  5.600E-05
      2.000  8.050E+02  2.880E+02  9.300E+00  5.400E-05
      3.000  7.150E+02  2.840E+02  4.700E+00  5.100E-05
      4.000  6.330E+02  2.770E+02  2.200E+00  4.700E-05
      5.000  5.590E+02  2.700E+02  1.500E+00  4.500E-05
      6.000  4.920E+02  2.640E+02  8.500E-01  4.300E-05
      7.000  4.320E+02  2.570E+02  4.700E-01  4.100E-05
      8.000  3.780E+02  2.500E+02  2.500E-01  3.900E-05
      9.000  3.290E+02  2.440E+02  1.200E-01  3.900E-05
     10.000  2.860E+02  2.370E+02  5.000E-02  3.900E-05
     11.000  2.470E+02  2.300E+02  1.700E-02  4.100E-05
     12.000  2.130E+02  2.240E+02  6.000E-03  4.300E-05
     13.000  1.820E+02  2.170E+02  1.800E-03  4.500E-05
     14.000  1.560E+02  2.100E+02  1.000E-03  4.500E-05
     15.000  1.320E+02  2.040E+02  7.600E-04  4.700E-05
     16.000  1.110E+02  1.970E+02  6.400E-04  4.700E-05
     17.000  9.370E+01  1.950E+02  5.600E-04  6.900E-05
     18.000  7.890E+01  1.990E+02  5.000E-04  9.000E-05
     19.000  6.660E+01  2.030E+02  4.900E-04  1.400E-04
     20.000  5.650E+01  2.070E+02  4.500E-04  1.900E-04
     21.000  4.800E+01  2.110E+02  5.100E-04  2.400E-04
     22.000  4.090E+01  2.150E+02  5.100E-04  2.800E-04
     23.000  3.500E+01  2.170E+02  5.400E-04  3.200E-04
     24.000  3.000E+01  2.190E+02  6.000E-04  3.400E-04
     25.000  2.570E+01  2.210E+02  6.700E-04  3.400E-04
     30.000  1.220E+01  2.320E+02  3.600E-04  2.400E-04
     35.000  6.000E+00  2.430E+02  1.100E-04  9.200E-05
     40.000  3.050E+00  2.540E+02  4.300E-05  4.100E-05
     45.000  1.590E+00  2.650E+02  1.900E-05  1.300E-05
     50.000  8.540E-01  2.700E+02  6.300E-06  4.300E-06
     70.000  5.790E-02  2.190E+02  1.400E-07  8.600E-08
    100.000  3.000E-04  2.100E+02  1.000E-09  4.300E-11
